championName,bestDuo1,bestDuo2,bestDuo3,bestDuo4,bestDuo5,bestDuo6
Corki,"['Kayn', '51.1%', 'Jungle']","['Graves', '50.8%', 'Jungle']","['Nocturne', '49.7%', 'Jungle']","[""Kha'Zix"", '48.4%', 'Jungle']","['Viego', '46.9%', 'Jungle']","['Lee Sin', '45.7%', 'Jungle']"
Brand,"['Quinn', '56.3%', 'Top']","['Akshan', '56.1%', 'Mid']","['Kassadin', '55.9%', 'Mid']","['Cassiopeia', '55.8%', 'Mid']","['Qiyana', '55.7%', 'Mid']","['Trundle', '55.7%', 'Top']"
Kayle,"['Briar', '57.6%', 'Jungle']","['Rammus', '57.1%', 'Jungle']","['Talon', '56.0%', 'Jungle']","['Fiddlesticks', '55.9%', 'Jungle']","['Jarvan IV', '54.3%', 'Jungle']","['Gragas', '53.4%', 'Jungle']"
Tryndamere,"['Nunu & Willump', '55.6%', 'Jungle']","['Fiddlesticks', '54.3%', 'Jungle']","['Rammus', '53.9%', 'Jungle']","['Taliyah', '53.7%', 'Jungle']","['Ekko', '53.6%', 'Jungle']","['Brand', '53.6%', 'Jungle']"
Quinn,"['Sejuani', '60.1%', 'Jungle']","['Rammus', '56.7%', 'Jungle']","['Nocturne', '56.5%', 'Jungle']","['Taliyah', '55.9%', 'Jungle']","['Maokai', '55.6%', 'Jungle']","['Zac', '55.5%', 'Jungle']"
Viktor,"['Udyr', '58.1%', 'Jungle']","['Nocturne', '55.6%', 'Jungle']","['Warwick', '55.0%', 'Jungle']","[""Kha'Zix"", '54.7%', 'Jungle']","['Talon', '54.6%', 'Jungle']","['Shaco', '54.4%', 'Jungle']"
Camille,"[""Rek'Sai"", '55.2%', 'Jungle']","['Taliyah', '55.2%', 'Jungle']","['Fiddlesticks', '54.9%', 'Jungle']","['Evelynn', '54.8%', 'Jungle']","['Gragas', '54.1%', 'Jungle']","['Elise', '54.0%', 'Jungle']"
Yuumi,"['Lucian', '55.1%', 'Bot']","['Yasuo', '54.9%', 'Bot']","['Tristana', '54.8%', 'Bot']","['Twitch', '52.0%', 'Bot']","['Vayne', '51.7%', 'Bot']","['Zeri', '50.5%', 'Bot']"
Kai'Sa,"['Taliyah', '56.6%', 'Support']","['Poppy', '54.1%', 'Support']","['Lissandra', '51.4%', 'Support']","['Zyra', '51.2%', 'Support']","['Zoe', '50.8%', 'Support']","['Maokai', '50.5%', 'Support']"
Janna,"['Seraphine', '58.6%', 'Bot']","['Karthus', '58.2%', 'Bot']","['Twitch', '55.1%', 'Bot']","['Vayne', '54.8%', 'Bot']","['Kalista', '54.6%', 'Bot']","['Draven', '54.3%', 'Bot']"
Kassadin,"['Jax', '62.1%', 'Jungle']","['Brand', '57.2%', 'Jungle']","['Ivern', '56.8%', 'Jungle']","['Maokai', '56.8%', 'Jungle']","['Rammus', '55.7%', 'Jungle']","['Hecarim', '55.6%', 'Jungle']"
Darius,"['Morgana', '54.6%', 'Jungle']","['Taliyah', '53.9%', 'Jungle']","['Trundle', '53.5%', 'Jungle']","['Fiddlesticks', '53.2%', 'Jungle']","['Nocturne', '52.9%', 'Jungle']","['Nunu & Willump', '52.9%', 'Jungle']"
Zilean,"['Ziggs', '58.9%', 'Bot']","['Vayne', '54.5%', 'Bot']","['Twitch', '54.3%', 'Bot']","['Draven', '53.8%', 'Bot']","['Ashe', '53.5%', 'Bot']","['Varus', '53.4%', 'Bot']"
Ryze,"['Gragas', '56.5%', 'Jungle']","['Briar', '56.2%', 'Jungle']","['Zac', '55.4%', 'Jungle']","['Evelynn', '54.4%', 'Jungle']","['Nocturne', '53.4%', 'Jungle']","['Ekko', '53.1%', 'Jungle']"
Rakan,"['Swain', '64.7%', 'Bot']","['Seraphine', '59.8%', 'Bot']","[""Kog'Maw"", '56.2%', 'Bot']","['Ziggs', '55.2%', 'Bot']","['Twitch', '55.0%', 'Bot']","['Lucian', '54.9%', 'Bot']"
Blitzcrank,"['Swain', '58.1%', 'Bot']","['Lucian', '55.0%', 'Bot']","['Draven', '53.9%', 'Bot']","['Twitch', '53.5%', 'Bot']","['Miss Fortune', '53.3%', 'Bot']","['Kalista', '53.3%', 'Bot']"
Kindred,"['Akshan', '58.3%', 'Mid']","['Singed', '58.1%', 'Top']","['Urgot', '56.2%', 'Top']","['Malphite', '56.2%', 'Top']","['Neeko', '56.1%', 'Mid']","['Fizz', '56.0%', 'Mid']"
Irelia,"['Ivern', '55.1%', 'Jungle']","['Fiddlesticks', '54.3%', 'Jungle']","['Gragas', '54.2%', 'Jungle']","[""Bel'Veth"", '54.1%', 'Jungle']","['Jax', '54.0%', 'Jungle']","['Nidalee', '53.8%', 'Jungle']"
Vi,"['Singed', '56.6%', 'Top']","['Warwick', '56.4%', 'Top']","['Neeko', '56.1%', 'Mid']","['Diana', '55.7%', 'Mid']","['Aurelion Sol', '55.3%', 'Mid']","['Kassadin', '54.6%', 'Mid']"
Trundle,"['Evelynn', '56.5%', 'Jungle']","['Fiddlesticks', '56.2%', 'Jungle']","['Brand', '55.5%', 'Jungle']","['Karthus', '54.9%', 'Jungle']","['Morgana', '54.8%', 'Jungle']","['Rammus', '54.4%', 'Jungle']"
Lissandra,"[""Rek'Sai"", '62.1%', 'Jungle']","['Trundle', '57.6%', 'Jungle']","['Master Yi', '54.9%', 'Jungle']","['Rammus', '54.7%', 'Jungle']","['Nidalee', '54.4%', 'Jungle']","['Evelynn', '54.2%', 'Jungle']"
Sivir,"['Taric', '56.7%', 'Support']","['Zyra', '53.5%', 'Support']","['Pyke', '53.3%', 'Support']","['Shaco', '52.9%', 'Support']","['Heimerdinger', '52.7%', 'Support']","['Braum', '52.5%', 'Support']"
Rumble,"['Rengar', '54.9%', 'Jungle']","['Master Yi', '53.4%', 'Jungle']","[""Rek'Sai"", '52.9%', 'Jungle']","[""Bel'Veth"", '52.9%', 'Jungle']","['Xin Zhao', '52.2%', 'Jungle']","['Udyr', '52.0%', 'Jungle']"
Gnar,"['Ivern', '55.4%', 'Jungle']","['Elise', '54.9%', 'Jungle']","['Shyvana', '54.0%', 'Jungle']","['Master Yi', '53.4%', 'Jungle']","[""Kha'Zix"", '52.8%', 'Jungle']","['Nunu & Willump', '52.7%', 'Jungle']"
Vel'Koz,"['Vayne', '54.2%', 'Bot']","['Ashe', '53.2%', 'Bot']","['Miss Fortune', '53.0%', 'Bot']","['Caitlyn', '53.0%', 'Bot']","['Jhin', '52.4%', 'Bot']","['Draven', '51.7%', 'Bot']"
Soraka,"['Yasuo', '59.5%', 'Bot']","['Swain', '58.4%', 'Bot']","['Ziggs', '56.3%', 'Bot']","['Seraphine', '56.2%', 'Bot']","['Vayne', '56.0%', 'Bot']","['Ashe', '55.8%', 'Bot']"
Taric,"['Vayne', '56.5%', 'Bot']","['Lucian', '56.2%', 'Bot']","['Sivir', '55.7%', 'Bot']","['Jinx', '55.7%', 'Bot']","['Varus', '54.4%', 'Bot']","['Miss Fortune', '54.4%', 'Bot']"
Varus,"['Taric', '55.5%', 'Support']","['Poppy', '54.3%', 'Support']","['Heimerdinger', '53.6%', 'Support']","['Rell', '53.1%', 'Support']","['Rakan', '52.8%', 'Support']","['Janna', '52.6%', 'Support']"
Nilah,"['Sona', '57.5%', 'Support']","['Renata Glasc', '56.3%', 'Support']","['Morgana', '54.8%', 'Support']","['Brand', '54.3%', 'Support']","['Rell', '53.9%', 'Support']","['Taric', '53.2%', 'Support']"
Zac,"['Quinn', '57.1%', 'Top']","['Akshan', '56.6%', 'Mid']","['Kassadin', '56.1%', 'Mid']","['Talon', '56.1%', 'Mid']","['Tristana', '56.0%', 'Mid']","['Ryze', '55.0%', 'Mid']"
Milio,"['Vayne', '55.0%', 'Bot']","['Ashe', '53.9%', 'Bot']","['Samira', '53.1%', 'Bot']","['Twitch', '52.9%', 'Bot']","[""Kog'Maw"", '52.8%', 'Bot']","['Lucian', '52.7%', 'Bot']"
Zed,"['Rammus', '57.1%', 'Jungle']","['Fiddlesticks', '55.6%', 'Jungle']","['Ivern', '55.3%', 'Jungle']","['Poppy', '52.9%', 'Jungle']","['Amumu', '52.9%', 'Jungle']","['Maokai', '52.8%', 'Jungle']"
Annie,"['Rengar', '57.4%', 'Jungle']","['Master Yi', '56.7%', 'Jungle']","['Evelynn', '56.5%', 'Jungle']","['Nidalee', '55.8%', 'Jungle']","['Kayn', '55.1%', 'Jungle']","['Graves', '54.9%', 'Jungle']"
Neeko,"['Ezreal', '54.1%', 'Bot']","['Ziggs', '53.3%', 'Bot']","['Lucian', '52.5%', 'Bot']","['Draven', '52.2%', 'Bot']","['Twitch', '52.0%', 'Bot']","['Jhin', '51.8%', 'Bot']"
Ashe,"['Galio', '57.1%', 'Support']","['Soraka', '56.6%', 'Support']","['Maokai', '55.4%', 'Support']","['Annie', '55.2%', 'Support']","['Sona', '54.8%', 'Support']","['Rakan', '54.2%', 'Support']"
Braum,"[""Kog'Maw"", '57.3%', 'Bot']","['Twitch', '56.5%', 'Bot']","['Yasuo', '54.9%', 'Bot']","['Vayne', '54.1%', 'Bot']","['Tristana', '53.5%', 'Bot']","['Sivir', '53.2%', 'Bot']"
Anivia,"['Sylas', '58.2%', 'Jungle']","['Nocturne', '57.7%', 'Jungle']","['Ekko', '56.9%', 'Jungle']","['Master Yi', '56.8%', 'Jungle']","['Ivern', '56.4%', 'Jungle']","['Rengar', '55.5%', 'Jungle']"
Volibear,"['Xin Zhao', '55.2%', 'Jungle']","['Elise', '55.1%', 'Jungle']","['Trundle', '54.8%', 'Jungle']","['Evelynn', '54.0%', 'Jungle']","['Gragas', '53.9%', 'Jungle']","['Taliyah', '52.4%', 'Jungle']"
Karthus,"['Akshan', '57.6%', 'Mid']","['Talon', '56.9%', 'Mid']","['Singed', '56.9%', 'Top']","['Camille', '55.3%', 'Top']","['Olaf', '54.9%', 'Top']","['Tristana', '54.9%', 'Mid']"
Hecarim,"['Kassadin', '56.2%', 'Mid']","['Singed', '54.8%', 'Top']","['Vex', '54.6%', 'Mid']","['Galio', '54.5%', 'Mid']","['Anivia', '54.1%', 'Mid']","['Xerath', '54.0%', 'Mid']"
Rammus,"['Cassiopeia', '60.2%', 'Mid']","['Quinn', '58.8%', 'Top']","['Akshan', '58.4%', 'Mid']","['Veigar', '57.6%', 'Mid']","['Galio', '57.5%', 'Mid']","['Vayne', '57.5%', 'Top']"
Orianna,"['Evelynn', '54.1%', 'Jungle']","['Pantheon', '54.1%', 'Jungle']","['Rengar', '53.8%', 'Jungle']","['Nocturne', '53.6%', 'Jungle']","['Rell', '52.7%', 'Jungle']","['Kindred', '52.7%', 'Jungle']"
Talon,"['Ivern', '62.8%', 'Jungle']","['Karthus', '57.1%', 'Jungle']","['Fiddlesticks', '56.8%', 'Jungle']","['Xin Zhao', '56.3%', 'Jungle']","['Taliyah', '55.8%', 'Jungle']","['Kindred', '55.8%', 'Jungle']"
Pantheon,"['Trundle', '56.5%', 'Jungle']","['Maokai', '54.8%', 'Jungle']","['Nidalee', '54.0%', 'Jungle']","['Evelynn', '54.0%', 'Jungle']","['Xin Zhao', '53.9%', 'Jungle']","[""Rek'Sai"", '53.5%', 'Jungle']"
Urgot,"['Talon', '60.2%', 'Jungle']","['Ivern', '59.0%', 'Jungle']","['Maokai', '58.4%', 'Jungle']","['Fiddlesticks', '58.1%', 'Jungle']","['Gragas', '57.2%', 'Jungle']","['Rammus', '56.6%', 'Jungle']"
Kha'Zix,"['Xerath', '56.7%', 'Mid']","['Warwick', '56.3%', 'Top']","['Ziggs', '56.2%', 'Mid']","['Rumble', '56.1%', 'Mid']","['Malphite', '55.9%', 'Top']","['Lux', '55.7%', 'Mid']"
Caitlyn,"['Zoe', '56.1%', 'Support']","['Zac', '53.9%', 'Support']","['Fiddlesticks', '53.6%', 'Support']","['Annie', '53.2%', 'Support']","['Tahm Kench', '52.7%', 'Support']","['Bard', '52.6%', 'Support']"
Tristana,"['Zac', '58.0%', 'Support']","['Taric', '54.4%', 'Support']","['Yuumi', '53.4%', 'Support']","['Zyra', '53.1%', 'Support']","['Shaco', '52.8%', 'Support']","['Blitzcrank', '52.2%', 'Support']"
LeBlanc,"['Fiddlesticks', '54.9%', 'Jungle']","['Rengar', '52.7%', 'Jungle']","['Jax', '52.3%', 'Jungle']","['Trundle', '52.2%', 'Jungle']","[""Bel'Veth"", '52.2%', 'Jungle']","[""Kha'Zix"", '52.2%', 'Jungle']"
Garen,"['Rammus', '56.1%', 'Jungle']","[""Rek'Sai"", '56.0%', 'Jungle']","['Fiddlesticks', '55.5%', 'Jungle']","['Zac', '55.0%', 'Jungle']","['Gwen', '54.9%', 'Jungle']","['Karthus', '54.9%', 'Jungle']"
Pyke,"['Swain', '56.1%', 'Bot']","['Karthus', '55.8%', 'Bot']","['Seraphine', '55.4%', 'Bot']","[""Kog'Maw"", '54.0%', 'Bot']","['Yasuo', '53.9%', 'Bot']","['Miss Fortune', '53.7%', 'Bot']"
Udyr,"['Qiyana', '59.0%', 'Mid']","['Viktor', '58.1%', 'Mid']","['Xerath', '56.9%', 'Mid']","['Fizz', '56.8%', 'Mid']","['Anivia', '56.2%', 'Mid']","['Ornn', '56.1%', 'Top']"
Malzahar,"['Evelynn', '55.6%', 'Jungle']","['Zac', '55.4%', 'Jungle']","['Talon', '55.2%', 'Jungle']","['Amumu', '54.9%', 'Jungle']","['Jax', '54.8%', 'Jungle']","[""Kha'Zix"", '54.5%', 'Jungle']"
Kennen,"['Nocturne', '56.3%', 'Jungle']","['Rengar', '54.9%', 'Jungle']","['Diana', '54.4%', 'Jungle']","['Kindred', '54.3%', 'Jungle']","['Maokai', '52.9%', 'Jungle']","['Ekko', '52.1%', 'Jungle']"
Rek'Sai,"['Lissandra', '60.3%', 'Mid']","['Twisted Fate', '58.0%', 'Mid']","[""K'Sante"", '55.5%', 'Top']","['Xerath', '55.5%', 'Mid']","['Galio', '55.0%', 'Mid']","['Sylas', '54.5%', 'Mid']"
Heimerdinger,"['Vayne', '56.0%', 'Bot']","['Twitch', '55.8%', 'Bot']","['Jinx', '55.2%', 'Bot']","['Varus', '54.0%', 'Bot']","['Jhin', '52.9%', 'Bot']","['Xayah', '51.9%', 'Bot']"
Bard,"[""Kog'Maw"", '58.1%', 'Bot']","['Seraphine', '57.6%', 'Bot']","['Ziggs', '54.5%', 'Bot']","['Jhin', '54.4%', 'Bot']","['Vayne', '53.7%', 'Bot']","['Ezreal', '53.2%', 'Bot']"
Gangplank,"['Jax', '54.8%', 'Jungle']","['Nocturne', '54.7%', 'Jungle']","[""Rek'Sai"", '52.8%', 'Jungle']","['Rammus', '52.3%', 'Jungle']","['Ivern', '52.1%', 'Jungle']","['Nidalee', '51.6%', 'Jungle']"
Nunu & Willump,"['Akshan', '57.4%', 'Mid']","['Aurelion Sol', '57.1%', 'Mid']","['Fiora', '56.7%', 'Top']","['Kassadin', '56.6%', 'Mid']","['Neeko', '56.4%', 'Mid']","['Talon', '55.9%', 'Mid']"
Zeri,"['Rakan', '51.3%', 'Support']","['Braum', '50.3%', 'Support']","['Alistar', '50.2%', 'Support']","['Bard', '49.9%', 'Support']","['Yuumi', '49.7%', 'Support']","['Soraka', '49.2%', 'Support']"
Yorick,"['Ivern', '55.1%', 'Jungle']","['Gragas', '53.5%', 'Jungle']","['Elise', '51.0%', 'Jungle']","['Briar', '50.8%', 'Jungle']","[""Kha'Zix"", '50.6%', 'Jungle']","['Ekko', '50.4%', 'Jungle']"
Jax,"['Ivern', '54.3%', 'Jungle']","['Morgana', '54.0%', 'Jungle']","['Qiyana', '53.8%', 'Jungle']","[""Rek'Sai"", '53.6%', 'Jungle']","['Warwick', '53.3%', 'Jungle']","['Karthus', '53.1%', 'Jungle']"
Hwei,"['Gwen', '41.9%', 'Jungle']","['Rammus', '40.2%', 'Jungle']","['Ivern', '39.1%', 'Jungle']","['Trundle', '38.9%', 'Jungle']","['Master Yi', '38.8%', 'Jungle']","['Nocturne', '38.6%', 'Jungle']"
Lillia,"['Tristana', '58.2%', 'Mid']","['Galio', '56.8%', 'Mid']","['Kled', '56.7%', 'Top']","['Naafiri', '55.8%', 'Mid']","['Quinn', '55.3%', 'Top']","['Irelia', '55.0%', 'Mid']"
Jinx,"['Zac', '57.8%', 'Support']","['Taric', '56.4%', 'Support']","['Teemo', '56.3%', 'Support']","['Poppy', '54.8%', 'Support']","['Galio', '54.6%', 'Support']","['Zyra', '54.1%', 'Support']"
Briar,"['Brand', '59.6%', 'Mid']","['Kayle', '58.4%', 'Top']","['Udyr', '57.7%', 'Top']","['Malphite', '57.6%', 'Mid']","['Maokai', '56.9%', 'Top']","['Ornn', '56.5%', 'Top']"
Leona,"['Seraphine', '57.1%', 'Bot']","['Swain', '55.8%', 'Bot']","['Vayne', '55.2%', 'Bot']","['Twitch', '54.9%', 'Bot']","['Ezreal', '53.7%', 'Bot']","['Miss Fortune', '53.3%', 'Bot']"
Alistar,"['Vayne', '53.9%', 'Bot']","['Miss Fortune', '53.4%', 'Bot']","['Ashe', '52.8%', 'Bot']","['Yasuo', '52.8%', 'Bot']","['Lucian', '52.2%', 'Bot']","['Veigar', '51.6%', 'Bot']"
Aatrox,"['Ivern', '55.8%', 'Jungle']","['Gwen', '54.2%', 'Jungle']","['Warwick', '53.4%', 'Jungle']","['Jax', '52.8%', 'Jungle']","['Fiddlesticks', '52.5%', 'Jungle']","['Skarner', '52.5%', 'Jungle']"
Malphite,"['Udyr', '57.0%', 'Jungle']","['Kindred', '56.3%', 'Jungle']","[""Kha'Zix"", '55.5%', 'Jungle']","[""Bel'Veth"", '55.1%', 'Jungle']","['Master Yi', '54.9%', 'Jungle']","['Zed', '54.9%', 'Jungle']"
Nasus,"['Talon', '57.5%', 'Jungle']","['Shaco', '56.3%', 'Jungle']","['Evelynn', '56.1%', 'Jungle']","['Ekko', '55.2%', 'Jungle']","['Vi', '54.8%', 'Jungle']","['Gragas', '54.7%', 'Jungle']"
Samira,"['Shaco', '55.1%', 'Support']","['Maokai', '53.4%', 'Support']","['Sylas', '53.4%', 'Support']","['Nami', '52.9%', 'Support']","['Taric', '52.9%', 'Support']","['Renata Glasc', '52.5%', 'Support']"
Ahri,"['Trundle', '55.8%', 'Jungle']","['Evelynn', '55.3%', 'Jungle']","['Maokai', '53.4%', 'Jungle']","['Kindred', '53.0%', 'Jungle']","[""Bel'Veth"", '53.0%', 'Jungle']","['Rengar', '52.9%', 'Jungle']"
Miss Fortune,"['Maokai', '56.5%', 'Support']","['Shaco', '54.8%', 'Support']","['Pyke', '54.5%', 'Support']","['Rakan', '54.5%', 'Support']","['Amumu', '54.0%', 'Support']","['Blitzcrank', '53.9%', 'Support']"
Swain,"['Yasuo', '54.9%', 'Bot']","['Ziggs', '53.3%', 'Bot']","['Draven', '51.7%', 'Bot']","['Vayne', '51.7%', 'Bot']","['Kalista', '51.7%', 'Bot']","['Ashe', '51.6%', 'Bot']"
Lee Sin,"['Fiddlesticks', '60.8%', 'Top']","['Singed', '57.9%', 'Mid']","['Kennen', '57.4%', 'Mid']","['Tristana', '54.2%', 'Mid']","['Garen', '53.8%', 'Mid']","['Taliyah', '53.1%', 'Mid']"
Fiora,"['Nunu & Willump', '57.5%', 'Jungle']","['Evelynn', '54.9%', 'Jungle']","['Fiddlesticks', '54.2%', 'Jungle']","['Rammus', '54.2%', 'Jungle']","['Maokai', '54.0%', 'Jungle']","['Taliyah', '54.0%', 'Jungle']"
Jhin,"['Shaco', '56.1%', 'Support']","['Zyra', '54.9%', 'Support']","['Bard', '54.0%', 'Support']","['LeBlanc', '54.0%', 'Support']","['Twitch', '54.0%', 'Support']","['Xerath', '53.8%', 'Support']"
Amumu,"['Kassadin', '57.2%', 'Mid']","['Malzahar', '54.9%', 'Mid']","['Xerath', '54.7%', 'Mid']","['Aurelion Sol', '54.6%', 'Mid']","['Neeko', '54.6%', 'Mid']","['Kayle', '54.3%', 'Top']"
Illaoi,"['Ekko', '55.3%', 'Jungle']","['Fiddlesticks', '54.9%', 'Jungle']","['Rammus', '54.8%', 'Jungle']","['Rengar', '54.7%', 'Jungle']","['Evelynn', '54.7%', 'Jungle']","['Talon', '54.4%', 'Jungle']"
K'Sante,"[""Rek'Sai"", '55.6%', 'Jungle']","['Jax', '54.9%', 'Jungle']","['Ivern', '54.3%', 'Jungle']","['Xin Zhao', '54.2%', 'Jungle']","['Udyr', '52.4%', 'Jungle']","['Talon', '52.2%', 'Jungle']"
Ekko,"['Garen', '60.3%', 'Mid']","['Wukong', '58.1%', 'Top']","['Swain', '56.1%', 'Mid']","['Renekton', '55.8%', 'Mid']","['Brand', '55.5%', 'Mid']","['Warwick', '55.1%', 'Top']"
Aurelion Sol,"['Nunu & Willump', '58.3%', 'Jungle']","['Vi', '57.5%', 'Jungle']","['Maokai', '56.3%', 'Jungle']","['Poppy', '56.2%', 'Jungle']","['Master Yi', '56.2%', 'Jungle']","['Shaco', '55.7%', 'Jungle']"